# Copyright The OpenTelemetry Authors
# SPDX-License-Identifier: Apache-2.0
#
# Accepted rows are canonical v1 records. Rejected rows name the status that a
# consumer must return after validating the supplied bytes.
format|1
name|outcome|status_name|status|wire_hex
valid_sampled|accept|valid|1|4f42494a010040000101000000000000000102030405060708090a0b0c0d0e0f1011121314151617080706050403020118171615141312110000000000000000
valid_unsampled|accept|valid|1|4f42494a010040000100000000000000000102030405060708090a0b0c0d0e0f1011121314151617080706050403020118171615141312110000000000000000
valid_future_flags|accept|valid|1|4f42494a010040000181000000000000000102030405060708090a0b0c0d0e0f1011121314151617080706050403020118171615141312110000000000000000
status_missing|accept|missing|2|4f42494a010040000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
status_stale|accept|stale|3|4f42494a010040000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
status_unsupported|accept|unsupported|4|4f42494a010040000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
status_malformed|accept|malformed|5|4f42494a010040000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
status_version_mismatch|accept|version_mismatch|6|4f42494a010040000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
status_ambiguous|accept|ambiguous|7|4f42494a010040000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
status_unauthorized|accept|unauthorized|8|4f42494a010040000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
status_already_consumed|accept|already_consumed|9|4f42494a010040000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
status_timeout|accept|timeout|10|4f42494a010040000a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
status_overload|accept|overload|11|4f42494a010040000b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
status_transport_error|accept|transport_error|12|4f42494a010040000c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
status_disabled|accept|disabled|13|4f42494a010040000d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
all_zero_ids|reject|malformed|5|4f42494a010040000101000000000000000000000000000000000000000000000000000000000000080706050403020118171615141312110000000000000000
zero_trace_id|reject|malformed|5|4f42494a010040000101000000000000000000000000000000000000000000001011121314151617080706050403020118171615141312110000000000000000
zero_span_id|reject|malformed|5|4f42494a010040000101000000000000000102030405060708090a0b0c0d0e0f0000000000000000080706050403020118171615141312110000000000000000
zero_generation|reject|malformed|5|4f42494a010040000101000000000000000102030405060708090a0b0c0d0e0f1011121314151617000000000000000018171615141312110000000000000000
zero_observation_time|reject|malformed|5|4f42494a010040000101000000000000000102030405060708090a0b0c0d0e0f1011121314151617080706050403020100000000000000000000000000000000
zero_length|reject|malformed|5|-
pre_magic_truncated|reject|malformed|5|4f4249
truncated|reject|malformed|5|4f42494a010040000101000000000000000102030405060708090a0b0c0d0e0f10111213141516170807060504030201181716151413121100000000000000
bad_magic|reject|malformed|5|5842494a010040000101000000000000000102030405060708090a0b0c0d0e0f1011121314151617080706050403020118171615141312110000000000000000
declared_smaller|reject|malformed|5|4f42494a01003f000101000000000000000102030405060708090a0b0c0d0e0f1011121314151617080706050403020118171615141312110000000000000000
declared_larger|reject|malformed|5|4f42494a010050000101000000000000000102030405060708090a0b0c0d0e0f1011121314151617080706050403020118171615141312110000000000000000
reserved_prefix|reject|malformed|5|4f42494a010040000101010000000000000102030405060708090a0b0c0d0e0f1011121314151617080706050403020118171615141312110000000000000000
reserved_suffix|reject|malformed|5|4f42494a010040000101000000000000000102030405060708090a0b0c0d0e0f1011121314151617080706050403020118171615141312110100000000000000
unknown_status_zero|reject|malformed|5|4f42494a010040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
unknown_status_14|reject|malformed|5|4f42494a010040000e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
unknown_version|reject|version_mismatch|6|4f42494a020040000101000000000000000102030405060708090a0b0c0d0e0f1011121314151617080706050403020118171615141312110000000000000000
unknown_version_bad_declared_size|reject|version_mismatch|6|4f42494a020050000101000000000000000102030405060708090a0b0c0d0e0f1011121314151617080706050403020118171615141312110000000000000000
future_larger_v1|reject|malformed|5|4f42494a010050000101000000000000000102030405060708090a0b0c0d0e0f101112131415161708070605040302011817161514131211000000000000000000000000000000000000000000000000
future_larger_unknown_version|reject|malformed|5|4f42494a020050000101000000000000000102030405060708090a0b0c0d0e0f101112131415161708070605040302011817161514131211000000000000000000000000000000000000000000000000
